Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total
0,1,1,1,1,1,1,1,1,1,9
0,1,1,1,0,1,1,1,1,1,8
1,1,1,1,1,0,1,1,1,1,9
1,1,1,1,1,1,1,1,0,1,9
1,1,0,0,1,1,0,1,1,1,7
1,0,0,1,1,1,1,0,0,1,6
1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,1,0,1,0,1,8
1,1,1,1,1,1,1,1,1,1,10
0,0,0,1,1,0,1,0,0,1,4
1,1,0,1,1,1,0,1,1,1,8
1,0,1,1,1,1,1,1,1,1,9
0,0,0,0,1,0,0,1,0,1,3
0,1,0,1,1,1,1,1,1,1,8
1,1,0,1,1,1,0,1,1,1,8
1,0,0,0,1,0,1,1,0,1,5
1,1,1,0,1,1,1,1,1,1,9
1,0,0,1,0,0,1,1,1,1,6
1,0,1,1,1,1,0,1,1,1,8
1,1,1,1,1,1,1,1,1,1,10
1,0,0,1,1,1,1,1,0,1,7
1,1,1,1,1,1,0,0,1,1,8
1,1,1,0,1,1,0,1,0,1,7
1,0,0,0,1,0,1,1,0,1,5
0,1,1,0,1,0,0,1,1,1,6
1,0,0,0,1,0,1,1,0,1,5
1,0,0,1,1,1,1,1,1,1,8
0,0,1,1,1,1,1,0,1,1,7
1,0,0,1,1,0,1,1,0,1,6
1,0,1,1,1,0,0,1,1,1,7
1,1,1,1,1,1,1,1,1,1,10
1,1,0,1,0,1,1,1,1,0,7
1,0,1,0,1,0,1,1,0,1,6
1,1,1,1,1,0,1,1,0,1,8
1,0,1,1,1,1,1,1,0,0,7
1,1,1,0,1,1,0,1,0,1,7
0,0,0,0,1,1,1,0,0,1,4
0,1,0,0,1,1,1,1,1,1,7
0,0,0,1,1,0,0,1,1,1,5
0,1,1,1,1,1,1,1,1,1,9
1,0,1,1,1,1,1,1,1,1,9
1,1,1,1,1,1,1,1,0,1,9
1,0,1,1,1,0,1,0,1,1,7
1,0,0,1,1,1,1,1,1,1,8
1,0,1,1,1,1,1,1,1,1,9
1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,0,1,1,1,1,9
1,1,1,1,1,1,1,1,1,1,10
0,0,0,0,1,0,1,1,1,1,5
1,1,1,1,1,0,1,1,1,1,9
1,1,0,0,1,1,1,1,1,1,8
1,0,0,1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,1,0,1,7
1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,0,1,1,1,1,9
0,1,1,1,1,0,0,0,1,1,6
0,1,1,1,1,0,1,1,1,1,8
1,0,1,1,1,0,1,1,1,1,8
1,1,0,1,1,0,1,1,0,1,7
1,0,0,1,1,0,1,1,0,1,6
1,1,1,0,1,0,0,0,1,1,6
1,0,1,1,1,1,1,1,0,1,8
1,1,1,1,1,0,1,1,1,1,9
1,1,1,1,1,1,0,1,1,1,9
1,1,0,1,1,0,0,0,1,1,6
0,0,1,0,1,1,1,1,1,1,7
1,1,1,1,1,0,1,1,1,1,9
1,1,1,1,1,1,0,1,1,1,9
1,1,1,0,1,1,1,0,1,1,8
1,1,1,0,1,1,1,1,1,1,9
0,1,1,1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,1,1,1,10
1,0,1,1,0,1,0,1,1,1,7
1,0,0,1,1,1,1,1,1,1,8
1,1,1,1,1,0,1,1,1,1,9
1,1,0,1,1,1,1,0,0,1,7
0,1,0,0,1,1,1,1,1,1,7
1,0,0,0,1,1,1,0,1,1,6
1,1,0,0,1,1,1,0,0,1,6
1,1,1,0,1,1,1,1,1,1,9
1,1,1,1,1,1,1,1,1,1,10
1,0,0,1,1,1,1,1,1,1,8
1,0,1,1,1,1,1,1,1,1,9
0,0,1,1,1,1,0,1,0,1,6
1,1,0,1,1,1,1,1,1,1,9
1,0,0,1,1,0,1,1,0,1,6
1,1,0,0,0,1,0,1,1,1,6
1,1,1,1,1,1,1,1,1,1,10
1,0,1,1,1,1,1,1,0,1,8
1,1,0,1,0,1,1,1,1,1,8
0,0,0,1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,1,1,0,8
0,1,1,0,0,1,1,1,0,1,6
0,0,0,0,1,1,1,1,0,1,5
1,0,0,0,0,1,1,1,1,1,6
0,1,1,1,1,1,1,1,1,1,9
0,0,0,0,1,1,1,1,1,1,6
1,1,1,1,1,1,0,1,1,1,9
